user_id,product_id,product_name,rating,votes,helpful_votes,ID
286,31395,The Body in the Moonlight: A Faith Fairchild Mystery,4,12,9,467030
934,4567,The Alchemist: A Fable About Following Your Dream,2,38,17,228731
846,86702,The Cable Guy,5,2,0,478752
193,158697,The Canterbury Tales (Great Tales),5,21,20,681979
836,28308,Biohazard : The Chilling True Story of the Largest Covert Biological Weapons Program in theWorld--Told from Inside by the Man Who Ran,4,2,2,521384
1231,184697,Johnny Mnemonic (Superbit Collection),5,1,1,71057
1863,170068,The Time,5,2,2,552272
1705,200854,Charlie's Angels,5,3,1,139041
339,20230,Death in the Long Grass,5,5,5,108868
1401,64107,Genius : The Life and Science of Richard Feynman (Vintage),5,8,3,99040
1003,71505,The Flash Animator,4,3,2,214882
167,155602,Grease (20th Anniversary Gift Edition),4,1,0,572023
228,207317,Tron - 20th Anniversary Edition,4,0,0,267825
339,212370,The Lord of the Rings - The Fellowship of the Ring,5,0,0,445401
300,88305,The Practice of the Presence of God (Walker Large Print Books),5,26,24,544741
648,21787,The Corrections: A Novel,4,1,1,710135
1753,61009,HENRY IV PART 2,5,3,2,733106
337,50096,Alexander of Macedon 356-323 B.C.: A Historical Biography,5,7,7,362831
228,179686,Indian in the Cupboard: Gift Set (includes 5 figurines),4,1,1,177717
1273,56494,Dave Barry Turns 50,3,2,2,236749
214,149391,Die Hard,5,2,0,234301
1401,16344,Of Spirit : Heidegger and the Question,4,5,3,738620
1437,147307,Little Book of Knock Knock Jokes,4,18,18,358242
1678,20420,Far from the Tree,5,3,3,521462
805,178015,It's-It,5,5,1,348143
820,168609,Blues Traveler,4,0,0,157364
1988,190273,Lolita,3,11,8,131823
228,209219,Dick Tracy,4,5,5,395011
1357,138996,Seven Up (Stephanie Plum),2,17,12,72627
226,24542,Chronicle of a Death Foretold,3,4,1,186559
1630,2635,"The Other Side of the Mountain: The End of the Journey (Merton, Thomas//Journal of Thomas Merton)",5,6,6,58574
1596,214704,"Godzilla, King of the Monsters",4,4,2,640652
932,158099,Ghost Dog - The Way of the Samurai,2,8,1,643042
385,150045,The Fountainhead,4,2,1,276652
1892,127271,Year of Wonders,5,4,4,267549
525,130562,The Lion's Game,5,1,1,716842
1863,215554,Insomnia,5,0,0,717594
1260,13543,Bleak House (Oxford World's Classics),5,2,2,703728
727,18565,A Dreamer of Pictures: Neil Young the Man and His Music,3,1,1,690014
1281,58120,The Iowa Baseball Confederacy : A Novel,5,9,7,535494
1149,120089,Confessions of a Shopaholic,4,1,1,178219
1149,123447,To the Nines (A Stephanie Plum Novel),5,6,6,43004
325,87245,Organizing to Win: New Research on Union Strategies,5,37,27,109102
409,67638,Saved By Soup : More Than 100 Delicious Low-Fat Soups To Eat And Enjoy Every Day,4,1,1,640332
1613,9428,The Grapes of Wrath (20th Century Classics),5,5,2,725016
228,157505,"Star Wars - Episode I, The Phantom Menace (Widescreen Edition Boxed Set)",4,0,0,248694
1260,63395,The Picture of Dorian Gray (Modern Library),5,4,3,370514
1437,40372,How to Dad,5,5,4,391878
339,145496,Koryu Bujutsu: Classical Warrior Traditions of Japan,5,4,4,362770
1911,205811,The Lord of the Rings,2,4,3,477466
169,174550,154,5,2,1,114010
1023,206965,Frank Herbert's Dune (TV Miniseries),4,3,3,82797
286,31208,Splendor in the Glass : A Den of Antiquity Mystery (Den of Antiquity),4,3,2,82054
917,170363,Ramones Mania,5,0,0,703807
228,192794,Small Time Crooks,3,0,0,511731
1273,61021,RICHARD III,4,4,1,380415
1911,204890,2001 - A Space Odyssey,5,14,13,66233
941,4040,Stitches in Time,4,2,2,371909
805,201391,Pokemon - The Johto Journeys - A Brand New World (Vol. 39),1,28,3,355578
1888,120336,Dracula (Broadview Literary Texts),5,2,2,442492
1664,89535,Go Getter: A Story That Tells You How to Be One,4,6,6,253369
1351,78621,Stepmom,5,0,0,440752
1600,53445,Little Women,5,1,1,336701
776,168898,Trompe le Monde,4,0,0,484922
1329,126164,"The Doom Patrol Archives, Vol. 1 (DC Archive Editions)",4,1,1,377799
805,204984,Hannibal,4,0,0,420228
1273,49439,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),5,0,0,614500
12,172396,With the Beatles,5,5,4,223247
525,51431,Code to Zero,4,1,1,153454
856,105990,The Tent of Orange Mist,3,5,4,238383
305,81741,Cold Sassy Tree,5,6,6,437863
12,193744,Two Against Nature,5,6,5,57562
820,177407,My Own Prison,5,1,1,75316
846,211029,Harry Potter and the Sorcerer's Stone - Spanish Edition,5,5,1,502652
167,185762,Jaws: The Revenge,3,0,0,13000
107,71673,"The Final Days: The Last, Desperate Abuses of Power by the Clinton White House",3,11,2,708740
1863,179295,Breath from Another,5,2,2,387869
1744,75021,Julius Caesar: From Shakespeare Stories by Leon Garfield (Shakespeare Series),5,4,2,637194
325,51516,No Second  Chance,4,2,2,229298
244,4391,Dirt,3,1,1,126430
1911,213570,We Were Soldiers,4,3,3,33757
616,78460,Fools Rush In,4,1,1,603088
1234,22478,Tooth and Nail (Detective John Rebus Novels),5,7,7,470929
856,28570,Cold Mountain : A Novel (Vintage Contemporaries),5,5,3,684583
1357,170815,The Mask and Mirror,5,0,0,659164
1940,57145,She's Come Undone,5,0,0,541170
12,169639,BBC Sessions,5,12,12,262111
1594,52005,"After the Ecstasy, the Laundry : How the Heart Grows Wise on the Spiritual Path",5,46,45,148668
228,192373,American Pie (Widescreen Rated Collector's Edition),3,1,1,686559
271,123776,The Weather Factor : How Nature Has Changed History,4,4,3,498036
727,187896,Tapestry,5,1,1,734698
1561,158012,Nashville,5,10,9,480551
736,28210,The Summons (Random House Large Print),3,7,6,153203
339,157293,"South Park: Bigger, Longer & Uncut",5,0,0,309158
1219,35212,The Lord of the Rings (Leatherette Collector's Edition),5,2,1,285170
1329,29691,"The Amber Spyglass (His Dark Materials, Book 3)",5,6,5,653312
1727,960,Angels,5,7,7,164593
1329,91589,"Harry Potter and the Sorcerer's Stone (Book 1, Audio)",5,1,1,59789
1753,11651,Focus,5,6,5,446483
1596,208411,The Evil Dead,3,2,0,516625
1888,192373,American Pie (Widescreen Rated Collector's Edition),2,2,1,532537
1744,112534,Kids Love Israel Israel Loves Kids: A Travel Guide for Families,5,0,0,306349
727,197915,Money and Cigarettes,4,5,4,69806
1337,192803,Harry Potter and the Sorcerer's Stone (Special Widescreen Edition),5,10,8,15574
1892,31936,Driving Mr. Albert: A Trip Across America with Einstein's Brain,4,9,7,505388
917,194046,The Sickness,4,5,5,395159
325,54442,The Summons,3,3,1,85502
1600,92037,Tree Grows in Brooklyn,5,1,1,296413
1705,156522,Halloween H20 - Twenty Years Later (Dimension Collector's Series),5,2,1,62908
1678,32044,The Kiss,5,2,2,493032
54,192946,Final Fantasy - The Spirits Within (Special Edition),2,0,0,471505
727,170306,Brotherhood,4,7,6,117302
1281,92062,Sirens of Titan,5,14,8,60947
941,42388,"The Mystery of the 99 Steps (Nancy Drew Mystery Stories, No 43)",5,0,0,381283
286,129496,The Saving Graces (Wheeler Large Print Book Series (Paper)),4,2,2,457504
616,85983,Kingpin,5,5,4,380464
300,19021,The Purpose-Driven Life: What on Earth Am I Here For?,5,31,8,296818
1023,23520,"Commodore Hornblower (Hornblower, 9)",5,1,1,710851
1163,136351,A Lesson Before Dying,4,0,0,209276
934,44486,"Jews, God, and History",5,5,4,339962
1260,79647,Hamlet (Widescreen Edition),1,28,11,502837
893,81322,The Day of Ahmed's Secret,5,5,4,51676
12,196922,Mr. Fantasy,5,13,13,543051
286,32801,A Painted House,5,2,2,449608
1594,1569,Nine and Counting: The Women of the Senate,4,6,4,41522
93,218674,Harry Potter and the Chamber of Secrets (Full Screen Edition),4,1,1,108164
409,1463,A Dream of Wolves: A Novel,4,8,6,241956
727,43256,It (Signet Books),2,13,7,245974
1107,29820,Communion : A True Story,4,8,8,598767
1744,17669,When Boxing Was a Jewish Sport,5,0,0,403389
577,52489,Future Shock,5,12,10,261943
727,212845,Toto IV  (Multichannel/Stereo),2,15,5,281253
214,53517,The No Spin Zone : Confrontations with the Powerful and Famous in America,3,20,3,233736
1163,98849,Book Lover's Guide to Great Reading: A Guided Tour of Classic & Contemporary Literature,4,11,9,222592
214,170172,Learning to Crawl,4,10,0,682670
286,5829,Hope to Die: A Matthew Scudder Novel (Matthew Scudder Mysteries (Paperback)),4,1,1,364917
1744,111338,"The Merck Manual of Medical Information, Second Edition: The World's Most Widely Used Medical Reference - Now In Everyday Language",5,2,2,568880
93,198022,Vampire Hunter D,4,1,1,286045
1990,191232,Wish You Were Here,5,1,1,657109
1727,135012,Hot Six (Stephanie Plum Novels (Audio)),5,5,5,120209
1273,44711,The Fountainhead,1,24,10,357041
575,214317,Grease (Full Screen Edition),5,1,1,61982
325,36287,It's Not About the Bike: My Journey Back to Life,4,2,1,148251
1727,28224,Hard Eight (Random House Large Print),5,9,7,58156
286,215169,Left Behind II - Tribulation Force,3,3,2,428762
727,191232,Wish You Were Here,4,1,0,65404
1727,74911,The Regency Underworld,5,33,32,624224
107,5444,But I Waaannt It!,4,7,3,97895
399,28979,True History of the Kelly Gang : A Novel,5,1,1,657673
1561,75558,The Introvert Advantage: How to Thrive in an Extrovert World,3,114,89,41005
525,23678,dot.bomb: My Days and Nights at an Internet Goliath,5,23,20,18419
647,102942,"The Lion, the Witch and the Wardrobe",5,5,4,43782
1281,89811,The Book of Illusions: A Novel,5,17,15,6041
385,60446,"Time's Enemy (Star Trek Deep Space Nine: Invasion, Book 3)",5,3,3,190600
339,157085,Three Days of the Condor,5,14,10,14364
1107,149526,Pet Sematary,2,1,0,419237
1594,66028,Vietnam the Necessary War: A Reinterpretation of America's Most Disastrous Military Conflict,4,11,5,98498
214,60934,Rogue Warrior: Rogue Warrior I,5,0,0,682148
399,199557,"Jane Eyre, the Musical (Original 2000 Broadway Cast)",5,1,0,107799
1231,215007,The Very Best of Kiss,4,2,2,83873
534,202589,A Clockwork Orange,5,5,5,203265
1003,201983,Górecki: Beatus Vir / Symphony No. 2,5,0,0,47079
1596,205872,Survivor - Season Two - The Australian Outback: The Greatest & Most Outrageous Moments,3,1,0,142152
951,38820,Harry Potter and the Prisoner of Azkaban (Book 3),5,0,0,80827
1664,120065,Founding Brothers,5,1,1,51121
1260,124228,Scooby-Doo - The Haunted House Hang-Up,4,4,3,680898
169,212070,Starship Troopers (Special Edition),5,3,1,402377
923,198204,Head On,4,15,14,186531
727,166734,Too Long in the Wasteland,4,3,3,321037
1163,101381,He Chose The Nails,3,7,6,348620
1765,115129,War With the Newts,5,3,3,101425
951,174343,"Pussy, King of the Pirates",2,7,5,668354
1105,24763,"The Illearth War: The Chronicles of Thomas Covenant the Unbeliever, Book Two",5,8,7,585494
1163,134343,Lord Foulgrin's Letters : How to Strike Back at the Tyrant by Deceiving and Destroying His Human Vermin,5,9,9,703090
1234,124583,The Picture of Dorian Gray (Bookcassette(r) Edition),5,17,14,342346
1727,26570,"Duets #60 (Kiss That Cowboy!/How The Sheriff Was Won) (Duets, 60)",5,11,9,272815
995,209496,Agatha Christie's Miss Marple - Collection 2,5,17,11,655916
1888,204974,American Pie (Widescreen Rated Ultimate Edition),2,2,1,323611
286,139033,Orchid Blues (Holly Barker),4,2,0,437272
981,78786,The Fourth Turning,5,4,1,146479
1163,54380,Skipping Christmas,4,8,5,426397
54,200445,Digimon - The Movie,4,2,0,145581
286,30374,Miss Zukas and the Library Murders (Miss Zukas Mysteries),4,3,2,334354
1596,219397,Die Another Day (Special Edition),4,3,1,98925
1911,86053,Richard III,4,3,2,561808
1329,57371,"Guns, Germs, and Steel: The Fates of Human Societies",5,7,4,578057
1863,167684,Lady in Satin,5,2,2,81941
846,190743,Austin Powers - The Spy Who Shagged Me,4,2,0,380251
1863,190108,Adriana Evans,5,1,1,57955
648,20977,Hard Eight (A Stephanie Plum Novel),4,6,4,677916
1613,53021,The Valley of Horses,4,3,3,479618
1765,89948,Anne Frank: The Biography,4,6,6,213180
214,11733,Word Freak : Heartbreak Triumph Genius Obsession World Competitive Scrabble Players,5,3,3,410966
1329,127271,Year of Wonders,4,4,2,321350
575,217115,Fun in Acapulco,5,5,4,630211
1395,36394,The Absence of Nectar,5,7,3,155348
1678,202595,Lolita,3,13,2,68462
648,44295,Anna Karenina (Signet Classics (Paperback)),4,8,3,59759
820,207513,Apocalypse Now Redux,5,0,0,179521
339,47581,Last and First Men and Star Maker : Two Science Fiction Novels,4,14,8,711955
1231,26873,The Death of Satan: How Americans Have Lost the Sense of Evil,5,1,1,692420
300,90453,The Empowered Communicator: 7 Keys to Unlocking an Audience,3,1,1,279067
1678,43415,Cheaters,5,0,0,556793
577,95317,Matisse and Picasso: The Story of their Rivalry and Friendship,5,2,1,199313
1337,218583,Bend It Like Beckham [Milan],5,20,17,421797
923,48403,Tartuffe and the Bourgeois Gentleman/Le Tartuffe Et Le Bourgeois Gentilhomme: Dual-Language Book (Dual-Language Book),5,9,8,5281
1678,200987,Nurse Betty,5,5,3,495449
1630,5266,"The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition)",5,2,2,70678
1596,62878,Great Expectations (Everyman's Library (Cloth)),4,4,2,140945
1290,217906,Labyrinth (Superbit Collection),4,1,1,644020
214,56946,The Life You Imagine : Life Lessons for Achieving Your Dreams,4,0,0,521477
193,88016,Anthology of Chinese Literature from Early Times to the Fourteenth Century (Anthology of Chinese Literature),5,29,29,654223
1596,196481,2010: The Year We Make Contact,3,11,2,643734
678,148653,Duel,4,0,0,455860
941,54450,The Nanny Diaries,3,2,1,317931
1863,211015,World Outside My Window,3,3,1,162679
1395,36318,Lost and Found,5,3,2,458200
1337,219776,Intuition/Standing Still,4,8,7,219545
805,155987,Once a Thief,4,4,2,61693
1892,43626,Light a Penny Candle,5,1,1,243437
1596,4526,Pete's a Pizza,5,1,0,664169
934,37671,Acceptable Risk,5,2,1,206402
409,27740,The Saving Graces,4,6,6,524649
1704,167263,"Vladimir Horowitz, The Complete Masterworks Recordings 1962-1973, Volume VII: Early Romantics",5,10,10,674828
534,84974,The Wild Bunch - The Original Director's Cut,4,5,3,277751
286,192648,American Beauty,1,32,8,305452
286,89932,"""O"" Is for Outlaw",5,0,0,548797
1744,103323,A Guide to Jewish Religious Practice (Moreshet),5,1,1,572390
1120,169703,The Razors Edge,5,1,1,146061
1023,153274,Crimson Tide,2,12,5,88568
28,53455,"The Chronicles of Narnia: The Silver Chair : BBC (The Chronicles of Narnia , Vol 6)",5,1,1,236041
1437,168873,Flood,5,13,12,408286
1337,186158,Central Reservation,2,25,12,202431
776,210496,Best of Marshall Tucker Band: Capricorn Years,5,0,0,586424
917,194738,Oops!... I Did It Again,4,2,1,456154
1892,59001,Bridget Jones : The Edge of Reason,5,2,1,448572
1911,151740,Ikiru,5,16,16,238496
1329,87883,Suicide Blonde,4,5,3,54638
1903,198655,The Mark Tom and Travis Show (The Enema Strikes Back),1,10,3,568778
244,30901,Cross Dressing,5,1,1,134426
525,60018,Black Hawk Down : A Story of Modern War (Abridged),5,4,3,509304
305,55150,Literature Guide: Danny the Champion of the World (Grades 4-8),4,0,0,208615
163,93922,Jonathan Swift's Gulliver's Travels (Barron's Book Notes),4,5,4,652283
678,213113,The Majestic,4,1,1,319819
1329,64688,Great Exploration Hoaxes (Modern Library Exploration),4,6,6,262899
1420,24697,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",5,14,12,549114
727,182762,Tomorrow the Green Grass (Reis),4,8,4,669988
228,192955,Jay and Silent Bob Strike Back (Dimension Collector's Series),3,0,0,671092
1990,74556,Xenosaga Official Strategy Guide,5,1,1,22938
981,52224,"Winesburg, Ohio (Bantam Classic)",5,7,7,598817
1892,39471,Outlander,5,3,3,410062
736,214965,Code to Zero,3,2,2,373808
647,137805,Meet Kaya: An American Girl (American Girls Collection),4,0,0,58844
1273,61012,King Lear,4,8,4,157839
1730,191679,The Iron Giant,5,1,1,11075
1395,123346,Four to Score (A Stephanie Plum Novel),5,2,1,107622
339,37279,Phenomenology of Perception (Routledge Classics),5,17,13,185112
1187,13364,Beowulf,5,9,5,205814
1329,38948,Harry Potter And The Chamber Of Secrets: Collectors Edition,5,3,2,57920
1105,198420,But I'm a Cheerleader,2,6,3,50512
575,196512,"The Year Without a Santa Claus/Nestor, the Long-Eared Christmas Donkey/Rudolph's Shiny New Year",5,3,2,244828
12,169523,Abacab,5,7,6,85052
577,109451,Choices for a Healthy Heart (Comb Binding),5,1,1,72989
12,181088,When the Eagle Flies,5,4,4,310263
1231,217292,fear dot com,5,4,2,152804
340,81696,Man's Search for Meaning,5,6,3,448124
1594,66567,How To Read and Why,3,29,19,699350
339,24772,Distant Mirror:  The Calamitous 14th Century,5,8,6,720839
1149,139030,Midnight Bayou,5,0,0,248911
678,200216,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb (Special Edition),5,3,3,536103
1911,218995,Darkness Falls (Special Edition),1,1,1,678525
1163,208049,You Are My World,5,9,9,2070
1260,168832,Kill 'Em All,3,1,1,522065
1940,28039,Bridget Jones Diary,5,2,1,188248
